,test,train
0.1,0.03595755228282771,0.735668685199819
0.2,0.0641865603372016,0.6417017446424048
0.3,0.0774579847717094,0.5220293714885054
0.4,0.09286599112066929,0.44595663482496395
0.5,0.10094226320620203,0.36600376875078133
0.6,0.10013278597973363,0.2942585637895614
0.7,0.09161628514137332,0.20622376230969808
0.8,0.07840224901769677,0.1447631467370023
0.9,0.5527608119388834,0.1031758766725206
