mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.0988000869750976,8.89079999923706,0.7241844392749235,0.971834652142682,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",80,0.7337494454207144,0.9702270913061161,0.731252851840098,0.9736015442655015,0.7229962649118016,0.9712660230165004,0.7131252829632437,0.9716717370562185,0.7197939993993078,0.9724068650690735,0.11651159408518195,0.7064479719399955,0.007542501040568316,0.0011299086386616468
1.1436000347137452,9.294999933242797,0.7241844392749235,0.971834652142682,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",80,0.7337494454207144,0.9702270913061161,0.731252851840098,0.9736015442655015,0.7229962649118016,0.9712660230165004,0.7131252829632437,0.9716717370562185,0.7197939993993078,0.9724068650690735,0.017545325414881283,0.24635992223858563,0.007542501040568316,0.0011299086386616468
1.1046000480651856,9.657999992370605,0.7689553619228028,0.8576850626439348,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",1,0.7725061826051305,0.8573929772747458,0.7730653669380748,0.8565996929066828,0.7635525230660247,0.858429506887948,0.7693109910820515,0.8584966478276337,0.7663406768854628,0.8575064883226639,0.11965711475525531,0.6956780824052107,0.003623804653782238,0.000708251065724288
1.1110000610351562,10.01739993095398,0.7399889446835234,0.9818783642693617,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",56,0.7504477421847081,0.9810904030590741,0.7462521492414302,0.9817743179681048,0.7406931991080418,0.9827929387951233,0.7376817545300443,0.9813635154673107,0.7248627365226236,0.9823706460571958,0.06938875130954139,0.3444790930143741,0.008754248558628807,0.0006285802593943996
1.0931999683380127,10.102199935913086,0.743948773483731,0.7927552055187667,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",29,0.748488360282071,0.7898297574497178,0.7399713908137987,0.7921855895820848,0.7402790079833103,0.7969288759754778,0.7427882539983365,0.7940286466905696,0.7482184728713623,0.7908031578959833,0.09232863803604086,0.43698767453042947,0.003727535072187989,0.002519300543440723
1.1620000362396241,10.160999965667724,0.743343262073638,0.9810729455787041,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",34,0.7477187910671552,0.9798220299359881,0.7434226765167317,0.9811664475328835,0.7462175455991799,0.9819463229337991,0.7395737915495331,0.9808278289112411,0.7397811161285904,0.9816020985796086,0.029583820756872523,0.37182152808780766,0.0032957342889326506,0.0007316290923759255
1.043600034713745,9.79700002670288,0.7631039848393543,0.7993153123714222,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",3,0.7668664467822297,0.799807534431184,0.7636475186162333,0.7983358385890728,0.7570805893829184,0.8005017569695616,0.7607091716941997,0.7986600737262243,0.767217476986632,0.7992713581410685,0.15717076425017282,0.7348837152578533,0.00383118172255536,0.0007798168871481397
1.0420001029968262,10.56119999885559,0.7440661957370749,0.9812128928608974,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",27,0.7510635028148681,0.9802107665878549,0.7426563966214215,0.9811664475328835,0.745463896691155,0.9819463229337991,0.7405635048485424,0.9811388286703413,0.7405813806440056,0.9816020985796086,0.16611434523472646,0.2477534004275259,0.003932387179659358,0.0005833181813132926
1.027199935913086,10.56459994316101,0.7505773645543704,0.7749861294362119,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",9,0.7594865293152058,0.7717520594116948,0.7510920541090443,0.7746373154082921,0.7436143780633433,0.7755654791784079,0.753130757972983,0.7780777924834366,0.7455614629493996,0.7748980006992282,0.07747360823531994,0.24513642160314675,0.005653476003825713,0.00202398978975652
1.0739998817443848,10.208200073242187,0.7462971014105573,0.9810563203083926,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",15,0.7531080123088971,0.9802107665878549,0.7459791357141692,0.9807360854983387,0.744110407459861,0.9819463229337991,0.7487602261600177,0.9811388286703413,0.7395252949452265,0.9812495978516296,0.14536717195967697,0.461609103170099,0.00454285633643069,0.0005751138912645276
0.9556001186370849,9.608999919891357,0.7587889926502887,0.7812651005609086,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",5,0.7687132023815726,0.7796375603892991,0.757608459393218,0.7793062601844397,0.750441689836634,0.7832586643069517,0.7591245775292966,0.7845108596808867,0.7580567865065524,0.7796121582429658,0.08749995730677514,0.6513290038488599,0.0058349284285148005,0.0021784127070687094
