mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_MLP__max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.46042633056640625,0.008400440216064453,0.578021978021978,0.5972527472527472,1,{'MLP__max_iter': 1},22,0.5521978021978022,0.5961538461538461,0.6703296703296703,0.6119505494505495,0.5686813186813187,0.5906593406593407,0.5247252747252747,0.5837912087912088,0.5741758241758241,0.6037087912087912,0.014023550249582423,0.001200079921460192,0.04925480182640651,0.00983462764816964
0.48842802047729494,0.008800506591796875,0.6230769230769231,0.6557692307692308,2,{'MLP__max_iter': 2},21,0.6263736263736264,0.6758241758241759,0.6868131868131868,0.6559065934065934,0.6016483516483516,0.6462912087912088,0.5604395604395604,0.6366758241758241,0.6401098901098901,0.6641483516483516,0.018118397919538252,0.0007484556549795477,0.04182325765711003,0.013614848014685583
0.5110291957855224,0.008400535583496094,0.6516483516483517,0.7028846153846154,4,{'MLP__max_iter': 4},20,0.6593406593406593,0.7348901098901099,0.6813186813186813,0.6916208791208791,0.6401098901098901,0.7122252747252747,0.5906593406593407,0.6758241758241759,0.6868131868131868,0.6998626373626373,0.01965820882491078,0.0010198889675969553,0.03472423144906585,0.019899100936715788
0.5864336013793945,0.009400463104248047,0.701098901098901,0.7737637362637362,8,{'MLP__max_iter': 8},19,0.7417582417582418,0.7815934065934066,0.7005494505494505,0.7664835164835165,0.6758241758241759,0.7891483516483516,0.6318681318681318,0.7561813186813187,0.7554945054945055,0.7754120879120879,0.02882251342658285,0.0012000878657199743,0.04481980991106179,0.01151390636796476
0.6844390869140625,0.009400606155395508,0.756043956043956,0.8517857142857143,16,{'MLP__max_iter': 16},18,0.7747252747252747,0.8509615384615384,0.760989010989011,0.8468406593406593,0.739010989010989,0.8633241758241759,0.7252747252747253,0.8351648351648352,0.7802197802197802,0.8626373626373627,0.003929516474327488,0.0014967201528064955,0.020951292269162224,0.010509812782081643
0.9386537551879883,0.008600425720214844,0.7857142857142857,0.945467032967033,32,{'MLP__max_iter': 32},1,0.8076923076923077,0.9340659340659341,0.8076923076923077,0.9464285714285714,0.7747252747252747,0.9532967032967034,0.75,0.9368131868131868,0.7884615384615384,0.9567307692307693,0.041598656876780174,0.0007999897074229017,0.0217710030287461,0.008876645286485463
1.3942798137664796,0.008600378036499023,0.7813186813186813,0.9979395604395604,64,{'MLP__max_iter': 64},2,0.7912087912087912,0.9938186813186813,0.7994505494505495,0.9993131868131868,0.7637362637362637,0.9993131868131868,0.7664835164835165,0.9979395604395604,0.7857142857142857,0.9993131868131868,0.04872817085968387,0.0010198889675969553,0.013965126403449275,0.0021280128275864853
2.411538028717041,0.009600496292114258,0.778021978021978,1.0,128,{'MLP__max_iter': 128},17,0.782967032967033,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.17121559958784516,0.0004899597886342959,0.016150481820548408,0.0
2.4075376987457275,0.01020054817199707,0.7785714285714286,1.0,256,{'MLP__max_iter': 256},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.13203869777128807,0.0009799000863030787,0.016354808863887033,0.0
2.293931245803833,0.008200407028198242,0.7785714285714286,1.0,512,{'MLP__max_iter': 512},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.13093862759431177,0.0011662612337705745,0.016354808863887033,0.0
2.3355335712432863,0.009200572967529297,0.7785714285714286,1.0,1024,{'MLP__max_iter': 1024},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.12788630073254362,0.0009798611565797078,0.016354808863887033,0.0
2.3177326679229737,0.008800411224365234,0.7785714285714286,1.0,2048,{'MLP__max_iter': 2048},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.18035622046336622,0.000748366450713617,0.016354808863887033,0.0
2.2847306728363037,0.01000056266784668,0.7785714285714286,1.0,2100,{'MLP__max_iter': 2100},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.1691375995372381,0.0006324850929980568,0.016354808863887033,0.0
2.2709299087524415,0.009200572967529297,0.7785714285714286,1.0,2200,{'MLP__max_iter': 2200},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.1414031655480359,0.0007484556549795477,0.016354808863887033,0.0
2.3005316257476807,0.009400558471679688,0.7785714285714286,1.0,2300,{'MLP__max_iter': 2300},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.16647945896182972,0.0016249423070415316,0.016354808863887033,0.0
2.2853306770324706,0.009200525283813477,0.7785714285714286,1.0,2400,{'MLP__max_iter': 2400},3,0.7857142857142857,1.0,0.7967032967032966,1.0,0.771978021978022,1.0,0.75,1.0,0.7884615384615384,1.0,0.11711763457231399,0.0007484046832832703,0.016354808863887033,0.0
