mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.6074000358581543,0.059999942779541016,0.8038461538461539,1.0,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",31,0.7637362637362637,1.0,0.8461538461538461,1.0,0.8241758241758241,1.0,0.7664835164835165,1.0,0.8186813186813187,1.0,0.04215011019648384,0.030983807980663525,0.032948712858384493,0.0
0.8517999649047852,0.061800050735473636,0.789010989010989,1.0,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",46,0.771978021978022,1.0,0.8076923076923077,1.0,0.8131868131868132,1.0,0.7857142857142857,1.0,0.7664835164835165,1.0,0.1997612326486527,0.008681071181947449,0.018665151375234085,0.0
0.5739999294281006,0.0470001220703125,0.8318681318681319,0.8910714285714286,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",11,0.8159340659340659,0.885989010989011,0.8406593406593407,0.8962912087912088,0.8434065934065934,0.8743131868131868,0.7994505494505495,0.8942307692307693,0.8598901098901099,0.904532967032967,0.05550861423083796,0.004049668645219302,0.021449693731805646,0.010248026073403575
0.538800048828125,0.04679994583129883,0.8214285714285714,1.0,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",19,0.8351648351648352,1.0,0.8214285714285714,1.0,0.8021978021978022,1.0,0.8324175824175825,1.0,0.8159340659340659,1.0,0.032560222112197904,0.0017205066541553327,0.01191180405971363,0.0
0.5228001117706299,0.04479985237121582,0.8384615384615385,0.8942307692307692,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",6,0.8324175824175825,0.8942307692307693,0.8434065934065934,0.8873626373626373,0.8653846153846154,0.9010989010989011,0.8269230769230769,0.8894230769230769,0.8241758241758241,0.8990384615384616,0.015638394937147693,0.001166228523011477,0.014987012853830636,0.005302268974071125
0.536400032043457,0.04780001640319824,0.8357142857142857,1.0,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",8,0.8571428571428571,1.0,0.8104395604395604,1.0,0.8598901098901099,1.0,0.7967032967032966,1.0,0.8543956043956044,1.0,0.01637808320137639,0.0022271284580739335,0.026658262572985078,0.0
0.5344000339508057,0.04780001640319824,0.8412087912087912,0.8803571428571428,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",5,0.8571428571428571,0.8791208791208791,0.8461538461538461,0.875,0.8626373626373627,0.875,0.7939560439560439,0.8839285714285714,0.8461538461538461,0.8887362637362637,0.030845343158644137,0.002712904101555523,0.02447368950694517,0.0053271207224355075
0.567199993133545,0.05180001258850098,0.8434065934065934,1.0,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",4,0.8626373626373627,1.0,0.8269230769230769,1.0,0.8516483516483516,1.0,0.8406593406593407,1.0,0.8351648351648352,1.0,0.015714828186532265,0.005706214838241213,0.012529400275814721,0.0
0.5581999778747558,0.05019998550415039,0.8489010989010989,0.8787087912087912,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",1,0.8763736263736264,0.8791208791208791,0.8681318681318682,0.8743131868131868,0.8598901098901099,0.8722527472527473,0.8214285714285714,0.8791208791208791,0.8186813186813187,0.8887362637362637,0.03658083594368689,0.0029257769247221415,0.024138332567570125,0.005690196477254919
0.540799903869629,0.04739995002746582,0.8456043956043956,1.0,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",2,0.8791208791208791,1.0,0.8379120879120879,1.0,0.8626373626373627,1.0,0.8131868131868132,1.0,0.8351648351648352,1.0,0.02139531144821595,0.0007999777842735447,0.022945728591012196,0.0
0.559399938583374,0.05060000419616699,0.843956043956044,0.8718406593406594,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",3,0.8598901098901099,0.8701923076923077,0.8516483516483516,0.8708791208791209,0.8461538461538461,0.8688186813186813,0.8324175824175825,0.8743131868131868,0.8296703296703297,0.875,0.02102009892665255,0.0020590879449706857,0.011446520140659142,0.002402864791831846
0.5750000476837158,0.05059995651245117,0.8379120879120879,1.0,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",7,0.8736263736263736,1.0,0.8076923076923077,1.0,0.8543956043956044,1.0,0.8186813186813187,1.0,0.8351648351648352,1.0,0.021844944231000002,0.006343630167056587,0.023823608119427245,0.0
