mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__base_estimator__alpha,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.42662439346313474,0.008000421524047851,0.7483516483516484,0.9530219780219781,-1,1,"{'Boost__n_estimators': 1, 'Boost__base_estimator__alpha': -1}",95,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.017025627484606294,0.001673426744630772,0.02810266341218556,0.0020650132387875215
0.4420252799987793,0.007000446319580078,0.7483516483516484,0.9530219780219781,-1,2,"{'Boost__n_estimators': 2, 'Boost__base_estimator__alpha': -1}",95,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.006603446490468258,0.0015492041753856866,0.02810266341218556,0.0020650132387875215
0.49562840461730956,0.007000350952148437,0.7483516483516484,0.9530219780219781,-1,5,"{'Boost__n_estimators': 5, 'Boost__base_estimator__alpha': -1}",95,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.02652399015582687,0.0006324850929980568,0.02810266341218556,0.0020650132387875215
0.46562657356262205,0.007000398635864258,0.7483516483516484,0.9530219780219781,-1,10,"{'Boost__n_estimators': 10, 'Boost__base_estimator__alpha': -1}",95,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.02136099309205007,0.0006325604884705772,0.02810266341218556,0.0020650132387875215
0.514829444885254,0.0072003364562988285,0.7483516483516484,0.9530219780219781,-1,20,"{'Boost__n_estimators': 20, 'Boost__base_estimator__alpha': -1}",95,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.02787558806750583,0.000748366450713617,0.02810266341218556,0.0020650132387875215
0.474627161026001,0.007000398635864258,0.7483516483516484,0.9530219780219781,-1,30,"{'Boost__n_estimators': 30, 'Boost__base_estimator__alpha': -1}",95,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.02204309581690629,0.0015493272971454583,0.02810266341218556,0.0020650132387875215
0.48442769050598145,0.0076004981994628905,0.7483516483516484,0.9530219780219781,-1,45,"{'Boost__n_estimators': 45, 'Boost__base_estimator__alpha': -1}",95,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.010670178058120929,0.0008000493062943437,0.02810266341218556,0.0020650132387875215
0.47302708625793455,0.006600379943847656,0.7483516483516484,0.9530219780219781,-1,60,"{'Boost__n_estimators': 60, 'Boost__base_estimator__alpha': -1}",95,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.021327276232461854,0.0004899792418945042,0.02810266341218556,0.0020650132387875215
0.48302760124206545,0.006600379943847656,0.7483516483516484,0.9530219780219781,-1,80,"{'Boost__n_estimators': 80, 'Boost__base_estimator__alpha': -1}",95,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.011082072708717574,0.0004899792418945042,0.02810266341218556,0.0020650132387875215
0.47022690773010256,0.006600427627563477,0.7483516483516484,0.9530219780219781,-1,100,"{'Boost__n_estimators': 100, 'Boost__base_estimator__alpha': -1}",95,0.7005494505494505,0.9532967032967034,0.7802197802197802,0.9539835164835165,0.771978021978022,0.9553571428571429,0.739010989010989,0.9491758241758241,0.75,0.9532967032967034,0.024360362556221954,0.0004899208473093903,0.02810266341218556,0.0020650132387875215
0.45322585105895996,0.006800508499145508,0.7708791208791209,0.9171703296703295,-0.001,1,"{'Boost__n_estimators': 1, 'Boost__base_estimator__alpha': -0.001}",75,0.728021978021978,0.9120879120879121,0.7857142857142857,0.9251373626373627,0.7939560439560439,0.926510989010989,0.7472527472527473,0.9175824175824175,0.7994505494505495,0.904532967032967,0.019662223519604803,0.000748353705076902,0.028156325220481233,0.008202746498260246
0.5052289009094239,0.006800365447998047,0.7708791208791209,0.9171703296703295,-0.001,2,"{'Boost__n_estimators': 2, 'Boost__base_estimator__alpha': -0.001}",75,0.728021978021978,0.9120879120879121,0.7857142857142857,0.9251373626373627,0.7939560439560439,0.926510989010989,0.7472527472527473,0.9175824175824175,0.7994505494505495,0.904532967032967,0.011214957134647352,0.0007483791930950463,0.028156325220481233,0.008202746498260246
0.738242244720459,0.006600379943847656,0.7862637362637362,0.9667582417582418,-0.001,5,"{'Boost__n_estimators': 5, 'Boost__base_estimator__alpha': -0.001}",1,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8104395604395604,0.9690934065934066,0.7445054945054945,0.9656593406593407,0.804945054945055,0.9629120879120879,0.014359099926111988,0.0004898819214545809,0.02893888809288724,0.0024801469897345776
