mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_Boost__n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.43982515335083006,0.006600332260131836,0.7708791208791209,0.9171703296703295,1,{'Boost__n_estimators': 1},12,0.728021978021978,0.9120879120879121,0.7857142857142857,0.9251373626373627,0.7939560439560439,0.926510989010989,0.7472527472527473,0.9175824175824175,0.7994505494505495,0.904532967032967,0.002856818370390295,0.0008000493062943438,0.028156325220481233,0.008202746498260246
0.5000285625457763,0.006800365447998047,0.7708791208791209,0.9171703296703295,2,{'Boost__n_estimators': 2},12,0.728021978021978,0.9120879120879121,0.7857142857142857,0.9251373626373627,0.7939560439560439,0.926510989010989,0.7472527472527473,0.9175824175824175,0.7994505494505495,0.904532967032967,0.008718363891743602,0.0004000425445315194,0.028156325220481233,0.008202746498260246
0.7160409450531006,0.006400346755981445,0.7862637362637362,0.9667582417582418,5,{'Boost__n_estimators': 5},1,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8104395604395604,0.9690934065934066,0.7445054945054945,0.9656593406593407,0.804945054945055,0.9629120879120879,0.02254903458926288,0.0004898819214545809,0.02893888809288724,0.0024801469897345776
0.9204525947570801,0.007400417327880859,0.7840659340659341,0.9678571428571429,10,{'Boost__n_estimators': 10},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.13963833613872678,0.0004898624411217045,0.029260498803723833,0.0019132401479648447
0.9182524681091309,0.007800483703613281,0.7840659340659341,0.9678571428571429,20,{'Boost__n_estimators': 20},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.13380961640979888,0.000748366450713617,0.029260498803723833,0.0019132401479648447
0.9168524742126465,0.007200431823730469,0.7840659340659341,0.9678571428571429,30,{'Boost__n_estimators': 30},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.14314222197366486,0.0004000902282460696,0.029260498803723833,0.0019132401479648447
0.9174525260925293,0.007800436019897461,0.7840659340659341,0.9678571428571429,40,{'Boost__n_estimators': 40},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.1420638755572998,0.0007482899888297624,0.029260498803723833,0.0019132401479648447
0.9210526943206787,0.007000398635864258,0.7840659340659341,0.9678571428571429,50,{'Boost__n_estimators': 50},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.14105134476018705,9.536743164062499e-08,0.029260498803723833,0.0019132401479648447
0.9234528064727783,0.007400417327880859,0.7840659340659341,0.9678571428571429,60,{'Boost__n_estimators': 60},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.1386248453821171,0.0004898624411217045,0.029260498803723833,0.0019132401479648447
0.9178524971008301,0.0072003364562988285,0.7840659340659341,0.9678571428571429,70,{'Boost__n_estimators': 70},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.14311019058416072,0.0004001379119606201,0.029260498803723833,0.0019132401479648447
0.9222527027130127,0.008400487899780273,0.7840659340659341,0.9678571428571429,80,{'Boost__n_estimators': 80},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.14271957690099504,0.0007999897074229017,0.029260498803723833,0.0019132401479648447
0.9192525386810303,0.007200479507446289,0.7840659340659341,0.9678571428571429,90,{'Boost__n_estimators': 90},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.13936847456864745,0.0004000663757324219,0.029260498803723833,0.0019132401479648447
0.9138522624969483,0.007000446319580078,0.7840659340659341,0.9678571428571429,100,{'Boost__n_estimators': 100},2,0.7582417582417582,0.9663461538461539,0.8131868131868132,0.9697802197802198,0.8186813186813187,0.970467032967033,0.7445054945054945,0.9656593406593407,0.7857142857142857,0.967032967032967,0.14273077340307444,0.0,0.029260498803723833,0.0019132401479648447
