mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_DT__alpha,param_DT__class_weight,param_DT__criterion,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
1.2542000770568849,0.02000002861022949,0.7615384615384615,0.9519230769230769,-1,balanced,gini,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",17,0.7252747252747253,0.9560439560439561,0.7774725274725275,0.9491758241758241,0.7857142857142857,0.9553571428571429,0.760989010989011,0.9457417582417582,0.7582417582417582,0.9532967032967034,0.029599968807507433,9.5367431640625e-08,0.02080669915248516,0.003909409195263143
1.2464000701904296,0.013199996948242188,0.7587912087912088,0.9498626373626374,-1,balanced,entropy,"{'DT__alpha': -1, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",20,0.7252747252747253,0.9361263736263736,0.7912087912087912,0.948489010989011,0.7912087912087912,0.9539835164835165,0.739010989010989,0.9526098901098901,0.7472527472527473,0.9581043956043956,0.033672563630569995,0.004118254615755874,0.027384474273356274,0.007523661504191852
1.4038000583648682,0.01399989128112793,0.7730769230769231,0.9159340659340659,-0.001,balanced,gini,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",5,0.7362637362637363,0.9182692307692307,0.7884615384615384,0.9114010989010989,0.7939560439560439,0.9271978021978022,0.7664835164835165,0.9127747252747253,0.7802197802197802,0.9100274725274725,0.05693997166799433,0.0048990526814908395,0.02060256402115675,0.006288748979263532
1.4254000186920166,0.016000080108642577,0.7730769230769231,0.9177197802197801,-0.001,balanced,entropy,"{'DT__alpha': -0.001, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",5,0.7307692307692307,0.8846153846153846,0.7967032967032966,0.9203296703296703,0.7939560439560439,0.9271978021978022,0.7637362637362637,0.926510989010989,0.7802197802197802,0.929945054945055,0.05104345567037764,0.004898955348093681,0.024175824175824177,0.016848074842265918
1.3022000789642334,0.015000009536743164,0.7730769230769231,0.9159340659340659,-0.00031622776601683794,balanced,gini,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",5,0.7362637362637363,0.9182692307692307,0.7884615384615384,0.9114010989010989,0.7939560439560439,0.9271978021978022,0.7664835164835165,0.9127747252747253,0.7802197802197802,0.9100274725274725,0.015367544207767451,0.004472131692834709,0.02060256402115675,0.006288748979263532
1.3499999523162842,0.01680002212524414,0.7730769230769231,0.9177197802197801,-0.00031622776601683794,balanced,entropy,"{'DT__alpha': -0.00031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",5,0.7307692307692307,0.8846153846153846,0.7967032967032966,0.9203296703296703,0.7939560439560439,0.9271978021978022,0.7637362637362637,0.926510989010989,0.7802197802197802,0.929945054945055,0.026802913803679596,0.004118245354623001,0.024175824175824177,0.016848074842265918
1.3763999938964844,0.01399993896484375,0.7675824175824176,0.9361263736263735,-0.01,balanced,gini,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",15,0.7252747252747253,0.9560439560439561,0.7967032967032966,0.9162087912087912,0.7857142857142857,0.9553571428571429,0.7747252747252747,0.9162087912087912,0.7554945054945055,0.9368131868131868,0.07316175635390713,0.004899013747899913,0.025154995917054057,0.01766592463271737
1.2942000389099122,0.014200115203857422,0.7670329670329671,0.9399725274725276,-0.01,balanced,entropy,"{'DT__alpha': -0.01, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",16,0.7472527472527473,0.904532967032967,0.7912087912087912,0.9457417582417582,0.7967032967032966,0.9546703296703297,0.7527472527472527,0.9375,0.7472527472527473,0.9574175824175825,0.020400034680580402,0.005153499120163934,0.022142243603966882,0.01905631229489067
1.334600019454956,0.014199972152709961,0.7730769230769231,0.9159340659340659,-0.0031622776601683794,balanced,gini,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",5,0.7362637362637363,0.9182692307692307,0.7884615384615384,0.9114010989010989,0.7939560439560439,0.9271978021978022,0.7664835164835165,0.9127747252747253,0.7802197802197802,0.9100274725274725,0.050281453985521696,0.005153615700873321,0.02060256402115675,0.006288748979263532
1.305600118637085,0.014199972152709961,0.7730769230769231,0.9177197802197801,-0.0031622776601683794,balanced,entropy,"{'DT__alpha': -0.0031622776601683794, 'DT__class_weight': 'balanced', 'DT__criterion': 'entropy'}",5,0.7307692307692307,0.8846153846153846,0.7967032967032966,0.9203296703296703,0.7939560439560439,0.9271978021978022,0.7637362637362637,0.926510989010989,0.7802197802197802,0.929945054945055,0.03369622540497777,0.004749842336314464,0.024175824175824177,0.016848074842265918
1.2655998706817626,0.018200016021728514,0.7615384615384615,0.9519230769230769,-0.1,balanced,gini,"{'DT__alpha': -0.1, 'DT__class_weight': 'balanced', 'DT__criterion': 'gini'}",17,0.7252747252747253,0.9560439560439561,0.7774725274725275,0.9491758241758241,0.7857142857142857,0.9553571428571429,0.760989010989011,0.9457417582417582,0.7582417582417582,0.9532967032967034,0.030754461820361345,0.004166544922898318,0.02080669915248516,0.003909409195263143
